"Sarah, a network administrator at TechCorp, has started noticing unusual outbound traffic patterns from their internal network. To effectively respond, she decides to leverage cyber threat intelligence to predict and mitigate potential threats. Which actions should Sarah take to ensure she successfully integrates threat intelligence capabilities into her network defense strategy?",multi-select,"Subscribe to reputable threat intelligence feeds and integrate them into the Threat Intelligence Platform (TIP).",,"Analyze and correlate Indicators of Attack (IoA) and Indicators of Compromise (IoCs) from threat feeds and internal sources.",,"Set up honeypots in different network segments to attract and analyze potential threats.",,"Only rely on internal network logs without considering external threat intelligence sources.",,"Update firewall rules and intrusion detection systems (IDS) based on the analyzed threat intelligence data.",,,,"1,2,3,5","Sarah should subscribe to reputable threat intelligence feeds and integrate them into a Threat Intelligence Platform (TIP) to ensure real-time threat information. By analyzing and correlating IoAs and IoCs, Sarah can identify patterns and indicators that suggest potential threats. Setting up honeypots helps in attracting and analyzing threats actively targeting the network. Lastly, updating firewall rules and IDS based on analyzed threat data can help in mitigating identified threats. Relying only on internal logs without considering external threat intelligence would leave gaps in coverage.",Module 20: Threat Prediction with Cyber Threat Intelligence
"At XYZ Tech Solutions, the IT department has recently noticed unusual network traffic patterns on one of their core servers. Sarah, the first responder, is tasked with handling the incident. She records the initial observations and follows the incident handling process. What should Sarah's next steps be to ensure a proper incident response?",multi-select,"Isolate the affected server to prevent further damage.",,"Immediately delete any suspicious files from the server.",,"Notify the incident response team and escalate the issue.",,"Document all actions taken and evidence found.",,"Perform a system reboot to clear any potential malware.",,,,"1,3,4","When handling an incident, the first responder should start by isolating the affected server to contain the threat. Deleting suspicious files can destroy crucial evidence, so it’s important to avoid that. Notifying the incident response team for further investigation and escalation is critical, as well as thoroughly documenting all actions taken and evidence found. Performing a system reboot can also destroy evidence and may not eliminate the threat.",Module 16: Incident Response and Forensics Investigation
"Which of the following are key components of a Security Orchestration, Automation, and Response (SOAR) system?",multi-select,"Incident Analysis and Playbooks",,"Legal and Compliance Standards",,"Automated Response Actions",,"Security Policy Framework",,"Reporting and Collaboration",,,,"1,3,5","SOAR systems integrate multiple security technologies and processes into a single platform for streamlined incident response. Key components include Incident Analysis and Playbooks to guide responders through predefined steps, Automated Response Actions to expedite mitigation efforts, and Reporting and Collaboration tools to facilitate communication among stakeholders and document incidents.",Module 16: Incident Response and Forensics Investigation
"During an attack surface analysis, which of the following is an example of a physical attack surface?",multiple-choice,"Open network ports",,"Unpatched software vulnerabilities",,"Unlocked server room",,"Unsecured API endpoints",,"Weak user passwords",,,,"3","A physical attack surface includes any physical access points that can be exploited by attackers. An unlocked server room is an example of a physical attack surface as it provides physical access to the hardware, which can then be manipulated or compromised.",Module 19: Threat Assessment with Attack Surface Analysis
"During a recent assessment, you are tasked with identifying the attack surface of a company's network. Which of the following areas should you focus on to effectively determine the network attack surface?",multi-select,"Open ports on network devices",,"Employee access credentials",,"Unpatched software vulnerabilities",,"IoT devices connected to the network",,"Physical security measures in place",,,,"1,3,4","To effectively determine the network attack surface, you should focus on open ports on network devices, unpatched software vulnerabilities, and IoT devices connected to the network. These are critical elements that can be directly exploited to gain unauthorized access to the network.",Module 19: Threat Assessment with Attack Surface Analysis
"During a forensic investigation, which of the following actions should be taken first by the first responder upon arriving at the scene of a cybersecurity incident?",multiple-choice,"A. Turn off the affected system to prevent further damage.",,"B. Isolate the affected system from the network to prevent the spread of the incident.",,"C. Document and photograph the scene to capture initial evidence.",,"D. Execute a detailed malware scan on the affected system.",,"E. Notify senior management and request further instructions.",,,,"3","The first responder's initial action should be to document and photograph the scene thoroughly. This is crucial for preserving the state of the affected system and ensuring that any potential evidence is captured before any changes are made to the environment. This step helps in building a timeline and understanding the scope of the incident.",Module 16: Incident Response and Forensics Investigation
"Jane is a network security analyst at BlueSky Inc. While conducting an attack surface analysis, she discovers that the company's server has multiple open ports, expired SSL certificates, redundant subdomains, and exposure through unmonitored cloud services. Which of the following actions should Jane prioritize to effectively reduce the company's attack surface?",multi-select,"A. Close unnecessary open ports",,"B. Renew expired SSL certificates",,"C. Disable redundant subdomains",,"D. Implement attack surface monitoring tools",,"E. Switch to a different cloud service provider",,,,"1,2,3,4","To effectively reduce the attack surface, Jane should focus on closing unnecessary open ports, renewing expired SSL certificates, disabling redundant subdomains, and implementing attack surface monitoring tools. This will help mitigate potential vulnerabilities and continuously monitor the attack surface for new threats. Switching to a different cloud service provider is not immediately necessary if the existing provider's services are properly configured and monitored.",Module 19: Threat Assessment with Attack Surface Analysis
"A network administrator was alerted about unusual outbound traffic from an internal endpoint. Upon initial investigation, it was discovered that the machine was communicating with a known command-and-control server. As a first responder, what are the immediate actions the network administrator should take? Select all that apply.",multi-select,"A) Disconnect the affected machine from the network.",,"B) Start deleting suspicious files from the affected machine.",,"C) Preserve volatile data from the affected machine.",,"D) Reimage the affected machine.",,"E) Notify the incident response team.",,,,"1,3,5","As a first responder, the network administrator should immediately disconnect the affected machine from the network to prevent further damage or data exfiltration (Answer A). Preserving volatile data (such as memory contents) is crucial for forensic investigation and should be done before any changes are made to the system (Answer C). Notifying the incident response team ensures that the organization’s incident response process is initiated (Answer E). Deleting files (Answer B) or reimaging the machine (Answer D) should not be done at this stage as they can destroy evidence critical for a forensic investigation.",Module 16: Incident Response and Forensics Investigation
"As part of the Risk Management Framework (RMF) implementation, which of the following steps is primarily concerned with deciding on a strategy to mitigate identified risks?",multiple-choice,"Risk Identification",,"Risk Assessment",,"Risk Treatment",,"Risk Tracking and Review",,"Risk Communication",,,,"3","Risk Treatment is primarily concerned with evaluating potential risk mitigation strategies and choosing the most appropriate methods to reduce, transfer, accept, or avoid the risks identified during the risk assessment phase. This step involves determining how to handle each risk based on its severity, impact, and the organization's risk tolerance.",Module 18: Risk Anticipation with Risk Management
"You are a network defender responsible for ensuring business continuity at your organization. An unexpected data breach occurs, and you need to prioritize the recovery steps. What is the first thing you should assess in order to build an effective Disaster Recovery Plan (DRP)?",multiple-choice,"Identify the critical business functions and processes",,"Allocate additional budget",,"Hire additional IT staff",,"Change all user passwords",,"Update the anti-virus software",,,,"1","The first step in creating an effective Disaster Recovery Plan is to identify the critical business functions and processes. This enables you to prioritize which systems and data need to be recovered first in the event of a disaster, ensuring minimal disruption to essential business operations.",Module 17: Business Continuity and Disaster Recovery
"Imagine a situation where a company's primary data center experiences a complete shutdown due to a natural disaster. The company needs to ensure that critical business functions can be restored within a certain timeframe and with minimal data loss. Which of the following concepts are most relevant for planning the recovery process?",multi-select,"Business Impact Analysis (BIA)",,"Recovery Time Objective (RTO)",,"Recovery Point Objective (RPO)",,"Intrusion Detection System (IDS)",,"Incident Response Plan (IRP)",,,,"1,2,3","To effectively plan the recovery process, the company should focus on Business Impact Analysis (BIA) to understand the potential impact of the disaster, Recovery Time Objective (RTO) to determine the maximum acceptable time to restore business functions, and Recovery Point Objective (RPO) to specify the maximum acceptable amount of data loss in terms of time. IDS and IRP are important for security and incident management but are not as directly relevant to the recovery planning process.",Module 17: Business Continuity and Disaster Recovery
"During a threat assessment, a network administrator realizes that the company's internal network has multiple vulnerable entry points that could be exploited by attackers. Which of the following measures can be taken to reduce the network attack surface?",multi-select,"A. Disabling unnecessary network services and open ports",,"B. Implementing strong password policies",,"C. Regularly patching and updating software",,"D. Training employees to recognize phishing attempts",,"E. Installing physical barriers to restrict access to network equipment",,,,"1,3","To reduce the network attack surface, it is crucial to disable unnecessary network services and open ports (answer A) and regularly patch and update software (answer C). These measures directly minimize the points of entry that attackers can exploit. Implementing strong password policies (answer B) and training employees to recognize phishing attempts (answer D) are important for general security but don't specifically target the network attack surface. Installing physical barriers (answer E) is more related to physical attack surface reduction.",Module 19: Threat Assessment with Attack Surface Analysis
"During a server failure at a manufacturing company, the Business Continuity Plan (BCP) is activated. Which two objectives are primarily focused on minimizing data loss and resuming operations within an acceptable time frame?",multi-select,"Recovery Time Objective (RTO)",,"Business Impact Analysis (BIA)",,"Business Continuity Management (BCM)",,"Disaster Recovery Plan (DRP)",,"Recovery Point Objective (RPO)",,,,"1,5","The Recovery Time Objective (RTO) specifies the maximum acceptable amount of time that a system can be down after a failure or disaster, focusing on how quickly systems must be available again. The Recovery Point Objective (RPO) determines the maximum acceptable amount of data loss measured in time, focusing on how much data can be lost before causing significant harm to the business. Both RTO and RPO are critical metrics in minimizing data loss and resuming operations promptly.",Module 17: Business Continuity and Disaster Recovery
"You are a network defender at SecureTech Inc. The SOC team has reported abnormal traffic patterns on a subset of the network. Your first responder, Alice, notices unusual outbound communication from one of the employee workstations, belonging to Bob in the Sales department. Which of the following steps should Alice follow according to the incident response process to determine if this is a security incident and respond appropriately?",multi-select,"Isolate Bob's workstation from the network to prevent further exfiltration",,"Notify the incident response team and escalate the incident",,"Backup Bob's workstation data immediately",,"Analyze network traffic and endpoint logs to identify potential indicators of compromise",,"Disregard the alert and wait for further incidents",,,,"1,2,4","In the Incident Response process, the first responder should take immediate action to contain the potential incident by isolating the workstation from the network. This prevents any further malicious activities or data exfiltration. The incident should then be escalated to the incident response team for comprehensive analysis and response. Analyzing network traffic and endpoint logs is crucial to gather evidence and identify the scope of the incident. Backup of the workstation data is not a priority at the initial stages of incident response and should be done after containment. Disregarding the alert is against incident response best practices.",Module 16: Incident Response and Forensics Investigation
"Tech Solutions Inc. has recently expanded its IT infrastructure to include multiple IoT devices for their smart office environment. As the Lead Security Analyst, Sarah is tasked with performing an attack surface analysis on the new infrastructure. Which of the following steps should Sarah prioritize to effectively analyze and reduce the attack surface in this IoT environment?",multi-select,"Identify and inventory all IoT devices connected to the network",,"Update all IoT devices to the latest firmware versions",,"Disable unnecessary ports and services on IoT devices",,"Perform regular vulnerability scans and patch management",,"Implement multi-factor authentication for IoT device access",,,,"1,2,3,4,5","Identifying and inventorying all IoT devices helps Sarah track what is connected to the network, making it easier to monitor for potential security issues (Answer 1). Updating firmware ensures that devices have the latest security patches (Answer 2). Disabling unnecessary ports and services minimizes the attack vector by limiting potential entry points (Answer 3). Regular vulnerability scans and patch management help to continually identify and fix security gaps (Answer 4). Implementing multi-factor authentication adds an extra layer of security, reducing the likelihood of unauthorized access (Answer 5).",Module 19: Threat Assessment with Attack Surface Analysis
"During a risk assessment meeting, the IT team at XYZ Corporation discussed identifying critical business functions and systems that need to be operational as soon as possible after a disaster. Which of the following terms best describes the maximum acceptable length of time that a business function can be inoperative after a disaster?",multiple-choice,"Recovery Time Objective (RTO)",,"Recovery Point Objective (RPO)",,"Business Impact Analysis (BIA)",,"Business Continuity Plan (BCP)",,"Disaster Recovery Plan (DRP)",,,,"1","Recovery Time Objective (RTO) is the maximum acceptable length of time that a business function can be inoperative after a disaster. It is a key parameter in designing disaster recovery and business continuity strategies.",Module 17: Business Continuity and Disaster Recovery
"You are a security analyst at Fortech Solutions, and you receive an alert from your SOAR system indicating an unusual activity on the corporate network at 3 AM. An employee named Alice, who works in the HR department, claims she was not working at that hour. As a first responder, what steps should you take according to the incident handling and response process?",multi-select,"Isolate the potentially affected system immediately",,"Ignore the alert since it might be a false positive",,"Notify Alice about the incident and ask her to change her passwords",,"Escalate the incident to the incident response team",,"Gather and preserve potential evidence from the affected endpoints",,,,"1,4,5","As a first responder in an incident response process, you should isolate the affected system to contain the threat, escalate the incident to the incident response team for further handling, and gather and preserve evidence for subsequent forensic investigation. Ignoring the alert could allow the potential threat to persist, and notifying Alice without containing the threat might not be immediately effective.",Module 16: Incident Response and Forensics Investigation
"GreenTech Solutions, a mid-sized software development company headed by CEO Sarah Lewis, recently experienced a severe data center outage due to a natural disaster. As the Network Security Manager, you need to ensure business continuity and swift disaster recovery. Which of the following should be implemented as part of your Business Continuity Plan (BCP) and Disaster Recovery Plan (DRP)? Select all that apply.",multi-select,"A comprehensive Business Impact Analysis (BIA) to identify critical business functions.",,"An annual review and update of the Business Continuity Plan (BCP) and Disaster Recovery Plan (DRP).",,"Implementation of automated data backups with a Recovery Point Objective (RPO) of 24 hours.",,"Establishing a secondary data center with a Recovery Time Objective (RTO) of 4 hours.",,"Training employees to manually enter data during an outage.",,,,"1,2,3,4","A comprehensive BIA helps identify critical business functions that are essential for continuity. Annual reviews and updates of the BCP and DRP ensure they remain current and effective. Automated data backups with an RPO of 24 hours ensure minimal data loss, and a secondary data center with an RTO of 4 hours allows quick recovery during an outage. Training employees to manually enter data is not an effective continuity strategy.",Module 17: Business Continuity and Disaster Recovery
"Jane Doe, the Chief Information Security Officer (CISO) at InfoGuard, Inc., has noticed a significant increase in spear-phishing attacks targeting her employees. During a recent security audit, she observed that the company’s human attack surface is expanding. Which of the following steps should Jane take to effectively reduce the human attack surface at InfoGuard, Inc.?",multi-select,"Implement multi-factor authentication (MFA) across the organization.",,"Conduct regular security awareness training for all employees.",,"Install physical barriers such as biometric access controls.",,"Deploy a user behavior analytics (UBA) tool to monitor suspicious activities.",,"Encourage employees to use personal devices for business purposes to simplify monitoring.",,,,"1,2,4","To reduce the human attack surface, Jane should implement multi-factor authentication to add a layer of security, conduct regular security awareness training to keep employees informed about the latest threats, and deploy a user behavior analytics tool to detect unusual activities. Physical barriers can help with physical attack surfaces, but they do not directly address human attack surfaces. Encouraging the use of personal devices for business knowingly increases the risk rather than reducing it.",Module 19: Threat Assessment with Attack Surface Analysis
"An intrusion detection system (IDS) has flagged a series of outbound connections to a known malicious IP address. Which type of indicator is this considered to be?",multiple-choice,"Indicator of Compromise (IoC)",,"Indicator of Attack (IoA)",,"Tactical Intelligence",,"Strategic Intelligence",,"Operational Intelligence",,,,"1","An outbound connection to a known malicious IP address is considered an Indicator of Compromise (IoC) because it is a sign that a system may have already been compromised and is communicating with a threat actor or malicious server.",Module 20: Threat Prediction with Cyber Threat Intelligence
"During an assessment of a company's network infrastructure, you discover that multiple employees are using the same weak password for accessing various systems. This is primarily impacting which type of attack surface?",multiple-choice,"A. System attack surface",,"B. Network attack surface",,"C. Software attack surface",,"D. Physical attack surface",,"E. Human attack surface",,,,"5","A weak password used by multiple employees compromises the human attack surface. This makes it easier for attackers to gain unauthorized access by exploiting the weakest link in the security chain - the human element.",Module 19: Threat Assessment with Attack Surface Analysis
"During an incident response process, the first responder's role is critical. Which of the following are the primary responsibilities of a first responder in incident handling and response?",multi-select,"A) Contain and mitigate the incident to prevent further damage",,"B) Perform a full forensic analysis of the affected systems",,"C) Document all findings and activities meticulously",,"D) Identify and classify the incident based on available information",,"E) Eradicate the root cause of the incident",,,,"1,3,4","The first responder's primary responsibilities include containing and mitigating the incident to prevent further damage, documenting all findings and activities meticulously, and identifying and classifying the incident based on available information. Performing a full forensic analysis and eradicating the root cause are typically handled by other specialized teams later in the incident response process.",Module 16: Incident Response and Forensics Investigation
"Alice is responsible for creating a Business Continuity Plan (BCP) for her company. As part of the initial steps, she is conducting a Business Impact Analysis (BIA). Which of the following are key objectives of conducting a BIA?",multi-select,"Identify critical business functions and processes.",,"Determine the hardware specifications needed for disaster recovery.",,"Estimate the potential impact of business disruptions.",,"Select the type of backup power systems to be used.",,"Define the Recovery Time Objective (RTO) and Recovery Point Objective (RPO).",,,,"1,3,5","A Business Impact Analysis (BIA) aims to identify critical business functions and processes (1), estimate the potential impact of business disruptions (3), and define the Recovery Time Objective (RTO) and Recovery Point Objective (RPO) (5). Determining hardware specifications and selecting backup power systems fall under different phases of business continuity and disaster recovery planning.",Module 17: Business Continuity and Disaster Recovery
"At Quantum Solutions Inc., a sudden fire outbreak has disrupted the company's both primary and secondary data centers. To mitigate the impact and ensure seamless operations, the company's IT manager, Lisa, considers implementing a Business Continuity Plan (BCP) and a Disaster Recovery Plan (DRP). Which of the following are appropriate components and activities that Lisa should include in these plans?",multi-select,"Conducting a Business Impact Analysis (BIA)",,"Determining the Recovery Time Objective (RTO) and Recovery Point Objective (RPO)",,"Training employees on emergency evacuation procedures",,"Restoring data from the last backup without considering the RPO",,"Implementing Network Load Balancing (NLB) for critical services",,,,"1,2,5","Conducting a Business Impact Analysis (BIA) is crucial for identifying the critical business functions and their dependencies. Determining the Recovery Time Objective (RTO) and Recovery Point Objective (RPO) helps in defining the tolerable downtime and data loss limits. Implementing Network Load Balancing (NLB) can ensure that critical services remain available by distributing the load across multiple servers. While training employees on emergency evacuation procedures is essential for safety, it is more related to emergency preparedness than to BCP/DRP. Restoring data without considering the RPO may lead to unacceptable data loss.",Module 17: Business Continuity and Disaster Recovery
"During a threat assessment, you are asked to analyze the attack surface of an organization's cloud infrastructure. Which of the following strategies would be most effective for reducing the attack surface in a cloud environment?",multi-select,"Limiting access to authorized users by implementing strict IAM policies",,"Keeping default security settings for convenience",,"Regularly updating and patching cloud-based systems",,"Enabling multi-factor authentication for all user accounts",,"Disabling encryption for data at rest to reduce processing overhead",,,,"1,3,4","To effectively reduce the attack surface in a cloud environment, it is crucial to implement strict Identity and Access Management (IAM) policies to limit access to only authorized users. Regular updates and patches ensure that systems are protected against known vulnerabilities. Enabling multi-factor authentication (MFA) adds an additional layer of security by requiring users to provide multiple forms of verification.",Module 19: Threat Assessment with Attack Surface Analysis
"Which of the following are common security challenges associated with IoT devices?",multi-select,"Inconsistent firmware updates",,"Strong encryption by default",,"Weak authentication mechanisms",,"High processing power",,"Lack of standardization",,,,"1,3,5","IoT devices often face several common security challenges including inconsistent firmware updates, weak authentication mechanisms, and a lack of standardization. These issues can make IoT devices more susceptible to attacks. On the other hand, strong encryption by default and high processing power are generally not considered challenges but rather security features.",Module 08 : Endpoint Security - IoT Devices
